Chromosome,UniqueID,Gene Symbol,Sum of Exon Length of Gene,CD33Low_A,CD33Low_B,EpiDC_A,EpiDC_B,EpiDC_C,LCs_A,LCs_B,LCs_C,cDC2_A,cDC2_B,cDC2Lang_A,cDC2_C,cDC2Lang_B,cDC2Lang_C,cDC1_A,cDC1_B2,cDC1_C,MDDC_A,MDDC_B,MDDC_C,MDM_A,MDM_B,MDM_C,Mf_A,Mf_B,Mf_C
chr22,CHEK2_13442,CHEK2,2101,0.0,0.0,0.0,45.0,0.0,18.0,52.0,181.0,83.0,488.0,4.0,61.0,148.0,0.0,8.0,1.0,22.0,5.0,72.0,0.0,0.0,176.0,0.0,31.0,110.0,1.0
chr22,CHKB-CPT1B_13443,CHKB-CPT1B,4276,25.0,0.0,0.0,363.0,127.0,602.0,533.0,743.0,643.0,509.0,1359.0,322.0,745.0,194.0,0.0,41.0,438.0,0.0,475.0,270.0,138.0,858.0,554.0,344.0,219.0,280.0
chr22,CHKB_13444,CHKB,1629,39.0,0.0,0.0,380.0,149.0,650.0,195.0,789.0,456.0,543.0,1069.0,326.0,487.0,210.0,0.0,63.0,429.0,0.0,463.0,295.0,145.0,742.0,259.0,305.0,263.0,309.0
chr22,CLDN5_13445,CLDN5,2314,0.0,8.0,0.0,262.0,0.0,0.0,47.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,5226.0,884.0,503.0,0.0,2.0,1.0,0.0,0.0,0.0,27.0,249.0,3.0
chr22,CLTCL1_13446,CLTCL1,5514,0.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
chr22,CN5H6.4_13447,CN5H6.4,1518,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,74.0
chr22,COMT_13448,COMT,2553,533.0,4361.0,48.0,1739.0,704.0,427.0,2610.0,2126.0,776.0,3282.0,734.0,1265.0,1770.0,2078.0,1000.0,1363.0,2238.0,598.0,2189.0,2017.0,1777.0,3919.0,4854.0,1525.0,5478.0,4129.0
chr22,CPT1B_13449,CPT1B,3157,0.0,0.0,0.0,8.0,1.0,8.0,357.0,6.0,219.0,2.0,414.0,39.0,303.0,0.0,0.0,0.0,35.0,0.0,46.0,4.0,0.0,178.0,318.0,81.0,1.0,3.0
chr22,CRELD2_13450,CRELD2,1575,38.0,0.0,127.0,367.0,0.0,543.0,1054.0,1091.0,261.0,531.0,7.0,981.0,329.0,1177.0,0.0,123.0,1109.0,91.0,579.0,1310.0,372.0,352.0,1168.0,294.0,539.0,1058.0
chr22,CRKL_13451,CRKL,5325,100.0,989.0,76.0,927.0,22.0,676.0,794.0,873.0,476.0,320.0,534.0,65.0,434.0,1893.0,18.0,20.0,1323.0,164.0,1297.0,746.0,143.0,1008.0,778.0,197.0,1148.0,889.0
chr22,CRYBA4_13452,CRYBA4,811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr22,CRYBB1_13453,CRYBB1,921,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,59.0,94.0,93.0,119.0,60.0,0.0,85.0
chr22,CRYBB2_13454,CRYBB2,763,0.0,0.0,0.0,13.0,0.0,9.0,13.0,18.0,6.0,8.0,0.0,12.0,0.0,26.0,0.0,1.0,26.0,3.0,0.0,17.0,22.0,23.0,24.0,4.0,8.0,39.0
chr22,CRYBB2P1_13455,CRYBB2P1,1501,27.0,8.0,63.0,150.0,7.0,96.0,165.0,191.0,54.0,155.0,2.0,137.0,12.0,158.0,52.0,50.0,145.0,56.0,37.0,302.0,199.0,158.0,158.0,57.0,197.0,333.0
chr22,CSDC2_13457,CSDC2,2530,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
chr22,CSF2RB_13458,CSF2RB,4846,242.0,0.0,976.0,1985.0,54.0,1571.0,2972.0,1853.0,1123.0,1593.0,3.0,1305.0,1910.0,4094.0,0.0,46.0,540.0,1024.0,3346.0,263.0,818.0,1911.0,648.0,246.0,1155.0,1881.0
chr22,CSNK1E_13459,CSNK1E,2891,8.0,572.0,115.0,72.0,1.0,70.0,225.0,138.0,127.0,482.0,387.0,91.0,128.0,1098.0,0.0,23.0,359.0,279.0,183.0,307.0,148.0,236.0,352.0,302.0,548.0,331.0
chr22,CYB5R3_13460,CYB5R3,3517,1907.0,1868.0,1137.0,2626.0,2050.0,2244.0,4523.0,4156.0,2454.0,4443.0,1581.0,4445.0,3172.0,5985.0,3913.0,3476.0,4981.0,2290.0,3624.0,3619.0,1695.0,3548.0,2265.0,3219.0,4210.0,4670.0
chr22,CYP2D6_13461,CYP2D6,1659,1.0,0.0,0.0,7.0,0.0,1.0,22.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,55.0,0.0
chr22,CYP2D7P1_13462,CYP2D7P1,1680,2.0,0.0,0.0,2.0,0.0,2.0,34.0,0.0,56.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,66.0,0.0
chr22,CYTH4_13463,CYTH4,3138,1.0,0.0,75.0,1433.0,822.0,1.0,46.0,85.0,516.0,1333.0,17.0,1572.0,1978.0,2064.0,0.0,877.0,1689.0,339.0,3639.0,1730.0,653.0,3950.0,1704.0,500.0,3273.0,2277.0
chr22,DDT_13464,DDT,723,58.0,0.0,0.0,81.0,0.0,71.0,206.0,178.0,27.0,178.0,156.0,124.0,64.0,85.0,66.0,4.0,254.0,19.0,106.0,166.0,33.0,53.0,79.0,90.0,124.0,86.0
chr22,DDTL_13465,DDTL,1635,131.0,0.0,1.0,189.0,0.0,162.0,563.0,451.0,65.0,420.0,512.0,305.0,155.0,350.0,199.0,3.0,689.0,53.0,251.0,397.0,105.0,98.0,198.0,298.0,309.0,212.0
chr22,DDX17_13466,DDX17,4796,2305.0,1145.0,463.0,2599.0,131.0,1823.0,4000.0,2668.0,1338.0,1559.0,1070.0,1181.0,2442.0,3167.0,0.0,889.0,3534.0,1324.0,2258.0,1414.0,1603.0,2438.0,1558.0,1115.0,1905.0,1793.0
chr22,DENND6B_13467,DENND6B,2006,0.0,0.0,0.0,67.0,0.0,0.0,43.0,1.0,0.0,216.0,79.0,0.0,77.0,102.0,0.0,0.0,55.0,0.0,250.0,171.0,0.0,165.0,2.0,13.0,154.0,149.0
chr22,DEPDC5_13468,DEPDC5,6173,0.0,0.0,0.0,206.0,117.0,64.0,109.0,35.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,79.0,296.0,0.0,26.0,237.0,0.0,21.0,258.0,56.0
chr22,DERL3_13469,DERL3,3200,44.0,0.0,0.0,18.0,0.0,243.0,106.0,70.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,12.0
chr22,DESI1_13470,DESI1,3794,248.0,1342.0,227.0,295.0,202.0,401.0,400.0,529.0,512.0,421.0,450.0,993.0,219.0,779.0,181.0,354.0,1700.0,216.0,392.0,1377.0,425.0,415.0,423.0,488.0,495.0,739.0
chr22,DGCR10_13471,DGCR10,927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr22,DGCR11_13472,DGCR11,2214,9.0,0.0,15.0,8.0,0.0,5.0,7.0,40.0,3.0,10.0,38.0,4.0,11.0,3.0,1.0,12.0,4.0,195.0,28.0,10.0,10.0,8.0,12.0,16.0,10.0,17.0
chr22,DGCR14_13473,DGCR14,5385,0.0,0.0,0.0,140.0,0.0,141.0,258.0,482.0,193.0,216.0,15.0,312.0,267.0,925.0,0.0,8.0,676.0,115.0,326.0,202.0,0.0,380.0,345.0,53.0,303.0,831.0
chr22,DGCR2_13474,DGCR2,4492,97.0,93.0,2.0,266.0,4.0,226.0,810.0,14.0,0.0,25.0,0.0,1.0,523.0,1172.0,617.0,0.0,195.0,179.0,736.0,4.0,1.0,488.0,16.0,234.0,309.0,430.0
chr22,DGCR5_13475,DGCR5,3323,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
chr22,DGCR6_13476,DGCR6,1214,621.0,334.0,135.0,331.0,371.0,229.0,507.0,422.0,244.0,386.0,0.0,473.0,195.0,454.0,0.0,2.0,610.0,414.0,341.0,529.0,311.0,468.0,337.0,318.0,583.0,811.0
chr22,DGCR6L_13477,DGCR6L,1217,1145.0,746.0,220.0,572.0,552.0,267.0,735.0,497.0,347.0,631.0,0.0,736.0,383.0,633.0,0.0,0.0,953.0,724.0,575.0,570.0,360.0,811.0,244.0,451.0,947.0,784.0
chr22,DGCR8_13478,DGCR8,4520,9.0,0.0,0.0,121.0,142.0,78.0,70.0,126.0,1.0,5.0,0.0,10.0,1.0,2.0,0.0,316.0,168.0,0.0,177.0,75.0,17.0,659.0,114.0,20.0,127.0,40.0
chr22,DGCR9_13479,DGCR9,2415,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,65.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,1.0,0.0,1.0,2.0
chr22,DMC1_13480,DMC1,2269,113.0,39.0,187.0,52.0,143.0,188.0,154.0,262.0,138.0,187.0,94.0,101.0,109.0,107.0,78.0,376.0,121.0,166.0,321.0,259.0,180.0,264.0,233.0,273.0,222.0,405.0
chr22,DNAJB7_13481,DNAJB7,2577,21.0,0.0,7.0,9.0,7.0,1.0,29.0,16.0,2.0,45.0,2.0,34.0,55.0,61.0,0.0,0.0,12.0,2.0,6.0,3.0,1.0,37.0,66.0,23.0,0.0,0.0
chr22,DNAL4_13482,DNAL4,1487,195.0,0.0,0.0,53.0,0.0,11.0,58.0,2.0,0.0,82.0,0.0,0.0,78.0,1.0,0.0,0.0,15.0,0.0,0.0,56.0,65.0,70.0,0.0,12.0,0.0,61.0
chr22,DRG1_13483,DRG1,1450,0.0,2335.0,15.0,548.0,31.0,501.0,767.0,652.0,634.0,460.0,1220.0,1016.0,1560.0,801.0,34.0,1139.0,1511.0,374.0,626.0,1031.0,715.0,774.0,214.0,417.0,1332.0,486.0
chr22,DUSP18_13484,DUSP18,2453,6.0,0.0,0.0,84.0,648.0,107.0,269.0,259.0,119.0,91.0,0.0,231.0,58.0,315.0,2.0,0.0,302.0,211.0,212.0,223.0,2.0,346.0,535.0,36.0,219.0,256.0
chr22,EFCAB6-AS1_13485,EFCAB6-AS1,1997,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr22,EFCAB6_13486,EFCAB6,4929,0.0,0.0,0.0,2.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr22,EIF3D_13487,EIF3D,1949,1134.0,5576.0,188.0,2295.0,1332.0,1349.0,2872.0,2914.0,1335.0,1844.0,2610.0,2680.0,2031.0,3656.0,3195.0,674.0,4774.0,1993.0,3386.0,1248.0,2232.0,3513.0,2498.0,1150.0,3221.0,2977.0
chr22,EIF3L_13488,EIF3L,2091,6619.0,8106.0,2691.0,8430.0,4023.0,5186.0,11551.0,12556.0,7104.0,12834.0,4886.0,8160.0,8122.0,8710.0,4345.0,5748.0,13636.0,6515.0,7657.0,6134.0,4722.0,5418.0,5074.0,2236.0,4387.0,3343.0
chr22,EIF4ENIF1_13489,EIF4ENIF1,3875,0.0,0.0,1.0,37.0,36.0,10.0,235.0,124.0,26.0,155.0,0.0,186.0,0.0,172.0,0.0,46.0,47.0,0.0,1.0,1.0,266.0,479.0,276.0,30.0,440.0,177.0
chr22,ELFN2_13490,ELFN2,8361,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
chr22,EMID1_13491,EMID1,2112,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
chr22,ENTHD1_13492,ENTHD1,2710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,15.0,1.0,135.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr22,EP300_13493,EP300,8761,350.0,0.0,177.0,799.0,97.0,1315.0,2191.0,1607.0,1185.0,380.0,67.0,872.0,1258.0,1190.0,167.0,234.0,1198.0,1626.0,1252.0,2156.0,1593.0,1434.0,1468.0,1262.0,1874.0,2693.0
chr22,EWSR1_13494,EWSR1,2952,1863.0,3238.0,73.0,3976.0,703.0,3127.0,6018.0,8800.0,5370.0,4939.0,5240.0,7470.0,4427.0,11401.0,3712.0,3131.0,6749.0,4454.0,4187.0,5370.0,3866.0,5547.0,3060.0,1844.0,3836.0,4107.0
chr22,FAM109B_13495,FAM109B,2332,0.0,1.0,31.0,97.0,0.0,2.0,119.0,12.0,0.0,101.0,0.0,1.0,175.0,2.0,0.0,0.0,308.0,0.0,407.0,79.0,0.0,203.0,198.0,43.0,265.0,3.0
chr22,FAM118A_13496,FAM118A,3364,66.0,3.0,67.0,274.0,23.0,492.0,223.0,286.0,425.0,523.0,30.0,29.0,470.0,626.0,27.0,44.0,287.0,53.0,800.0,60.0,68.0,623.0,192.0,209.0,77.0,323.0
chr22,FAM19A5_13497,FAM19A5,2867,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0
chr22,FAM211B_13498,FAM211B,1240,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
chr22,FAM227A_13499,FAM227A,10322,332.0,30.0,370.0,115.0,239.0,330.0,310.0,384.0,273.0,260.0,201.0,165.0,206.0,163.0,141.0,322.0,180.0,235.0,415.0,430.0,201.0,460.0,476.0,539.0,506.0,627.0
chr22,FAM83F_13500,FAM83F,2071,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr22,FBLN1_13501,FBLN1,4857,259.0,0.0,33.0,143.0,595.0,7.0,43.0,20.0,237.0,166.0,0.0,143.0,325.0,296.0,0.0,23.0,625.0,4.0,440.0,5.0,212.0,415.0,0.0,827.0,584.0,873.0
chr22,FBXO7_13502,FBXO7,2315,629.0,0.0,0.0,1161.0,864.0,1126.0,2526.0,4548.0,1333.0,1912.0,1546.0,2303.0,1627.0,7255.0,4675.0,899.0,4251.0,2825.0,1458.0,1121.0,2242.0,2713.0,2438.0,794.0,2111.0,1152.0
chr22,FBXW4P1_13503,FBXW4P1,2233,30.0,1.0,3.0,60.0,0.0,5.0,2.0,89.0,0.0,3.0,0.0,1.0,17.0,266.0,0.0,0.0,3.0,142.0,0.0,7.0,0.0,9.0,198.0,11.0,0.0,7.0
chr22,FLJ41941_13504,FLJ41941,2379,47.0,7.0,60.0,19.0,45.0,47.0,35.0,45.0,39.0,31.0,30.0,23.0,16.0,19.0,23.0,56.0,36.0,35.0,66.0,57.0,36.0,64.0,50.0,94.0,72.0,108.0
chr22,FLJ46257_13505,FLJ46257,4185,0.0,0.0,3.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr22,FOXRED2_13506,FOXRED2,5010,154.0,59.0,169.0,247.0,276.0,301.0,428.0,449.0,144.0,312.0,132.0,88.0,389.0,51.0,116.0,249.0,95.0,154.0,263.0,353.0,420.0,829.0,237.0,601.0,2098.0,602.0
chr22,GAL3ST1_13508,GAL3ST1,1791,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
chr22,GAS2L1_13510,GAS2L1,3023,495.0,0.0,1.0,50.0,0.0,103.0,281.0,257.0,31.0,56.0,0.0,3.0,166.0,254.0,0.0,90.0,51.0,136.0,240.0,17.0,49.0,391.0,109.0,45.0,226.0,268.0
chr22,GATSL3_13511,GATSL3,1622,9.0,0.0,0.0,70.0,0.0,1.0,199.0,129.0,88.0,169.0,33.0,289.0,79.0,784.0,1298.0,0.0,366.0,0.0,50.0,11.0,0.0,600.0,0.0,141.0,299.0,150.0
chr22,GCAT_13512,GCAT,1830,34.0,3.0,42.0,30.0,31.0,213.0,139.0,96.0,70.0,53.0,35.0,51.0,35.0,46.0,24.0,96.0,55.0,46.0,104.0,93.0,66.0,88.0,77.0,164.0,141.0,132.0
chr22,GGA1_13513,GGA1,4759,54.0,0.0,809.0,334.0,11.0,540.0,855.0,913.0,415.0,483.0,404.0,1238.0,440.0,1918.0,0.0,442.0,597.0,61.0,379.0,561.0,382.0,1007.0,1335.0,364.0,1323.0,647.0
chr22,GGT1_13514,GGT1,2602,4.0,0.0,0.0,67.0,0.0,2.0,15.0,9.0,163.0,0.0,0.0,164.0,57.0,258.0,0.0,3.0,201.0,0.0,224.0,222.0,0.0,7.0,509.0,2.0,0.0,33.0
chr22,GGT3P_13515,GGT3P,2036,17.0,0.0,0.0,30.0,0.0,23.0,3.0,4.0,43.0,0.0,0.0,56.0,19.0,92.0,0.0,5.0,51.0,0.0,76.0,72.0,0.0,2.0,174.0,1.0,0.0,21.0
chr22,GGT5_13516,GGT5,2497,0.0,0.0,4.0,552.0,1088.0,2.0,131.0,108.0,289.0,27.0,421.0,403.0,1.0,490.0,0.0,247.0,101.0,189.0,196.0,273.0,247.0,37.0,245.0,120.0,255.0,24.0
chr22,GGTLC2_13517,GGTLC2,848,5.0,0.0,0.0,7.0,0.0,4.0,8.0,6.0,19.0,0.0,0.0,48.0,26.0,42.0,0.0,0.0,46.0,0.0,45.0,37.0,0.0,4.0,82.0,1.0,0.0,0.0
chr22,GNAZ_13518,GNAZ,3208,0.0,0.0,0.0,14.0,0.0,2.0,15.0,0.0,0.0,264.0,0.0,1.0,6.0,191.0,0.0,0.0,53.0,0.0,1.0,175.0,0.0,109.0,0.0,1.0,33.0,0.0
chr22,GNB1L_13519,GNB1L,1519,349.0,0.0,6.0,50.0,0.0,32.0,170.0,60.0,1.0,123.0,0.0,144.0,0.0,228.0,11.0,0.0,113.0,2.0,0.0,41.0,7.0,3.0,266.0,40.0,261.0,58.0
chr22,GP1BB_13520,GP1BB,958,0.0,61.0,185.0,7.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr22,GRAMD4_13521,GRAMD4,4316,140.0,15.0,62.0,274.0,74.0,148.0,974.0,761.0,105.0,189.0,3.0,125.0,395.0,301.0,112.0,200.0,175.0,174.0,248.0,133.0,51.0,67.0,175.0,57.0,285.0,353.0
chr22,GRAP2_13522,GRAP2,1552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr22,GSTT1_13524,GSTT1,1060,403.0,0.0,0.0,195.0,0.0,87.0,501.0,192.0,73.0,268.0,0.0,75.0,215.0,1.0,0.0,0.0,199.0,303.0,144.0,1.0,275.0,425.0,0.0,438.0,647.0,248.0
chr22,GSTT2B_13527,GSTT2B,1094,0.0,0.0,9.0,40.0,0.0,0.0,0.0,175.0,0.0,52.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,74.0,59.0,0.0,170.0,1.0,6.0,50.0,135.0,51.0
chr22,GSTTP2_13529,GSTTP2,2070,175.0,17.0,188.0,84.0,144.0,254.0,255.0,269.0,219.0,179.0,149.0,249.0,135.0,308.0,75.0,195.0,163.0,182.0,298.0,343.0,205.0,268.0,257.0,369.0,263.0,450.0
chr22,GTPBP1_13530,GTPBP1,5047,277.0,11.0,474.0,2030.0,427.0,1819.0,4387.0,5630.0,1306.0,1499.0,371.0,1598.0,2268.0,3204.0,21.0,859.0,1771.0,988.0,1386.0,2562.0,942.0,993.0,1276.0,346.0,1010.0,1040.0
chr22,GTSE1_13531,GTSE1,3112,92.0,287.0,6.0,7.0,225.0,4.0,161.0,30.0,11.0,7.0,1.0,0.0,38.0,0.0,0.0,76.0,178.0,1.0,9.0,1.0,2.0,2.0,2.0,12.0,37.0,31.0
chr22,GUCD1_13532,GUCD1,3607,589.0,1988.0,1.0,805.0,0.0,825.0,1144.0,1635.0,794.0,641.0,745.0,2831.0,1174.0,810.0,1.0,573.0,1423.0,645.0,1190.0,896.0,639.0,1154.0,365.0,189.0,1437.0,912.0
chr22,GUSBP11_13533,GUSBP11,3416,78.0,0.0,0.0,48.0,0.0,2.0,37.0,25.0,382.0,163.0,280.0,240.0,285.0,4.0,75.0,1.0,72.0,177.0,77.0,67.0,369.0,567.0,241.0,124.0,513.0,102.0
chr22,H1F0_13534,H1F0,2330,110.0,609.0,0.0,466.0,17.0,69.0,484.0,280.0,86.0,633.0,45.0,145.0,583.0,347.0,0.0,7.0,108.0,172.0,871.0,3.0,95.0,1788.0,874.0,387.0,1780.0,387.0
chr22,HDAC10_13535,HDAC10,2706,0.0,0.0,0.0,68.0,0.0,27.0,264.0,232.0,120.0,41.0,17.0,97.0,241.0,338.0,0.0,144.0,73.0,166.0,335.0,0.0,25.0,827.0,21.0,120.0,885.0,87.0
chr22,HIC2_13536,HIC2,6796,70.0,0.0,93.0,29.0,0.0,1.0,71.0,1.0,0.0,3.0,0.0,57.0,1.0,0.0,70.0,0.0,49.0,53.0,0.0,22.0,30.0,74.0,22.0,95.0,163.0,98.0
chr22,HIRA_13537,HIRA,4013,0.0,0.0,0.0,11.0,0.0,4.0,152.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,998.0,4.0,126.0,1.0,93.0,70.0,11.0,32.0,17.0,103.0,245.0,61.0
chr22,HMGXB4_13538,HMGXB4,4251,465.0,109.0,2.0,113.0,0.0,346.0,278.0,289.0,304.0,341.0,22.0,388.0,72.0,261.0,0.0,194.0,424.0,0.0,299.0,573.0,57.0,355.0,47.0,135.0,324.0,112.0
chr22,HMOX1_13539,HMOX1,1590,520.0,0.0,1364.0,4994.0,12756.0,486.0,1039.0,2741.0,33438.0,4139.0,33299.0,52254.0,3402.0,24303.0,11832.0,1499.0,35635.0,42646.0,3353.0,78764.0,57398.0,2899.0,148979.0,38068.0,2836.0,189024.0
chr22,HORMAD2_13540,HORMAD2,1895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
chr22,HPS4_13541,HPS4,5634,19.0,0.0,2.0,160.0,18.0,111.0,324.0,179.0,161.0,191.0,374.0,96.0,24.0,225.0,0.0,7.0,8.0,24.0,570.0,180.0,25.0,689.0,245.0,109.0,271.0,257.0
chr22,HSCB_13542,HSCB,1088,31.0,2.0,19.0,89.0,23.0,57.0,131.0,163.0,38.0,109.0,129.0,55.0,104.0,8.0,25.0,90.0,88.0,14.0,130.0,90.0,139.0,185.0,162.0,47.0,117.0,49.0
chr22,IFT27_13544,IFT27,1415,129.0,0.0,0.0,93.0,0.0,17.0,205.0,14.0,0.0,119.0,96.0,184.0,119.0,27.0,0.0,117.0,156.0,115.0,171.0,60.0,0.0,235.0,72.0,24.0,84.0,222.0
chr22,IGLL1_13545,IGLL1,900,2.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,3.0,32.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,5.0,8.0,0.0,15.0,11.0
chr22,IGLL3P_13546,IGLL3P,675,9.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,4.0,5.0,1.0
chr22,IGLL5_13547,IGLL5,1058,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,64.0,0.0,39.0,37.0,264.0,0.0,0.0,1.0,108.0,289.0,1.0,0.0,47.0,0.0,3.0,177.0,146.0
chr22,IL17RA_13548,IL17RA,8608,31.0,0.0,147.0,334.0,67.0,57.0,130.0,50.0,244.0,1269.0,18.0,1534.0,1145.0,1848.0,414.0,49.0,617.0,164.0,1197.0,786.0,47.0,1623.0,808.0,253.0,2299.0,613.0
chr22,IL17REL_13549,IL17REL,3635,0.0,0.0,0.0,6.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
chr22,IL2RB_13550,IL2RB,4043,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,282.0,0.0,0.0,40.0,0.0,0.0,123.0,0.0,0.0,1.0,0.0,105.0,0.0
chr22,INPP5J_13551,INPP5J,2235,1.0,284.0,0.0,174.0,0.0,55.0,201.0,173.0,45.0,109.0,262.0,279.0,262.0,0.0,0.0,0.0,15.0,11.0,84.0,1.0,215.0,262.0,57.0,1.0,0.0,46.0
chr22,ISX_13552,ISX,3383,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr22,JOSD1_13553,JOSD1,3435,829.0,1730.0,636.0,2725.0,472.0,2079.0,5108.0,7091.0,2816.0,1921.0,1746.0,2544.0,1774.0,2242.0,1142.0,682.0,3419.0,4112.0,1763.0,3660.0,2223.0,1020.0,1000.0,1632.0,1312.0,3043.0
chr22,KCNJ4_13554,KCNJ4,2122,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr22,KCTD17_13555,KCTD17,1691,367.0,0.0,3.0,136.0,0.0,191.0,587.0,401.0,60.0,153.0,0.0,88.0,34.0,69.0,0.0,0.0,58.0,51.0,22.0,0.0,0.0,119.0,0.0,21.0,41.0,164.0
